province,count,log
กระบี่,87414,11.37841073
กรุงเทพมหานคร,3494938,15.06682619
กาญจนบุรี,103925,11.55142476
กาฬสินธุ์,93309,11.44367185
กำแพงเพชร,59003,10.98534357
ขอนแก่น,210888,12.25908247
จันทบุรี,71939,11.18357382
ฉะเชิงเทรา,136632,11.82504646
ชลบุรี,670893,13.41636494
ชัยนาท,39182,10.57597274
ชัยภูมิ,90361,11.41156804
ชุมพร,67572,11.12094898
ตรัง,90271,11.41057154
ตราด,29685,10.29839715
ตาก,51547,10.85024929
นครนายก,33481,10.41873339
นครปฐม,241984,12.39662689
นครพนม,55730,10.92827388
นครราชสีมา,243201,12.40164354
นครศรีธรรมราช,177365,12.08596504
นครสวรรค์,107602,11.58619451
นนทบุรี,455633,13.02944294
นราธิวาส,70985,11.17022387
น่าน,53375,10.88509775
บึงกาฬ,29714,10.29937359
บุรีรัมย์,107024,11.58080839
ปทุมธานี,455048,13.02815819
ประจวบคีรีขันธ์,105916,11.57040161
ปราจีนบุรี,82646,11.32232171
ปัตตานี,56379,10.93985203
พระนครศรีอยุธยา,202345,12.21772944
พะเยา,49150,10.80263213
พังงา,41452,10.63229141
พัทลุง,62636,11.04509547
พิจิตร,48162,10.78232561
พิษณุโลก,100544,11.51835072
ภูเก็ต,243782,12.40402966
มหาสารคาม,90633,11.41457366
มุกดาหาร,38600,10.56100756
ยะลา,46412,10.74531333
ยโสธร,51741,10.85400578
ระนอง,30024,10.30975234
ระยอง,241476,12.39452537
ราชบุรี,132261,11.79253252
ร้อยเอ็ด,124477,11.73187624
ลพบุรี,77862,11.26269331
ลำปาง,95719,11.46917209
ลำพูน,78147,11.26634695
ศรีสะเกษ,99754,11.51046243
สกลนคร,84361,11.34286049
สงขลา,215584,12.2811059
สตูล,38025,10.54599912
สมุทรปราการ,631044,13.35513087
สมุทรสงคราม,29581,10.29488754
สมุทรสาคร,308604,12.63981418
สระบุรี,131212,11.78456961
สระแก้ว,64863,11.08003263
สิงห์บุรี,30617,10.32931069
สุพรรณบุรี,85224,11.35303836
สุราษฎร์ธานี,250996,12.43319228
สุรินทร์,123337,11.72267573
สุโขทัย,62858,11.04863349
หนองคาย,47752,10.77377623
หนองบัวลำภู,34721,10.45509997
อำนาจเจริญ,31116,10.34547744
อุดรธานี,129120,11.76849748
อุตรดิตถ์,38205,10.55072168
อุทัยธานี,27796,10.2326474
อุบลราชธานี,172321,12.0571143
อ่างทอง,35589,10.47979188
เชียงราย,173686,12.06500435
เชียงใหม่,369379,12.8195785
เพชรบุรี,76913,11.25043019
เพชรบูรณ์,77016,11.25176847
เลย,45045,10.71541727
แพร่,63847,11.06424488
แม่ฮ่องสอน,20605,9.933289044
