province,loan,deposit
?????????????,13537830.00,10602503.00
?????????,32188.00,55753.00
????????,35220.00,81653.00
??????????,70591.00,99691.00
??????,460400.00,594949.00
??????,11842.00,17940.00
????,9935.00,22387.00
???????,9588.00,23047.00
??????,128121.00,231313.00
???????,276587.00,638926.00
????????,201640.00,350024.00
???????????????,38676.00,67805.00
??????????,35791.00,46154.00
???????????????,95233.00,129859.00
????????,23766.00,36895.00
?????,164081.00,179860.00
???????,64522.00,101733.00
??????,38858.00,53294.00
???????????,317146.00,582512.00
???????????,9377.00,22683.00
?????????,112136.00,203744.00
???????,18228.00,28835.00
???????,58739.00,84321.00
?????????,9131.00,18886.00
??????????,39568.00,67302.00
???????,9368.00,18495.00
?????????,26150.00,25013.00
???????,156142.00,133142.00
???????,25366.00,31498.00
??????,17336.00,21463.00
??????????,183313.00,187456.00
??????,11365.00,9292.00
?????????,42338.00,49835.00
?????????,30865.00,35946.00
????????,15573.00,15236.00
?????,18754.00,17061.00
????????,59097.00,39524.00
???,22252.00,24256.00
????????,38724.00,38386.00
??????,42056.00,36357.00
????????,49348.00,43900.00
???????,22481.00,27661.00
???????????,12417.00,14110.00
??????????,10335.00,8943.00
????????,98522.00,103085.00
???????????,102427.00,85874.00
?????????,30269.00,29906.00
????????,67674.00,90149.00
?????????,214803.00,304028.00
???,20053.00,33673.00
?????????,69335.00,68761.00
????,11325.00,16642.00
?????,15229.00,20818.00
??????,15160.00,27471.00
????????,65882.00,64373.00
?????????,34740.00,37597.00
????,15644.00,19273.00
??????????,5336.00,7648.00
?????,32117.00,42581.00
?????,18125.00,27005.00
???????,12190.00,25030.00
?????????,19128.00,19917.00
?????????,5331.00,16649.00
??????,44005.00,34371.00
?????,30466.00,49977.00
????,41975.00,42635.00
?????????????,86497.00,88462.00
????????,12017.00,22591.00
???????,12380.00,21948.00
?????,12377.00,21104.00
??????,16715.00,20855.00
??????,185595.00,188420.00
????,18644.00,34095.00
?????,7478.00,20513.00
?????,153823.00,180715.00
????,8169.00,10351.00
????????????,115696.00,133154.00
,,
